,Gene,variance,SD
5849,FHL5,0.115168521,0.339364878
5850,FHOD1,0.026172397,0.161778853
5851,FHOD3,0.124920282,0.353440634
5852,FIBCD1,0.086937118,0.29485101
5853,FIBIN,0.050400321,0.224500159
5854,FIBP,0.056992309,0.238730621
5855,FICD,0.032255868,0.179599186
5856,FIG4,0.047102348,0.217030755
5857,FIGLA,0.062537241,0.250074471
5858,FIGN,0.046995354,0.216784118
5859,FIGNL1,0.011241158,0.106024329
5860,FIGNL2,0.047488092,0.217917627
5861,FILIP1,0.05464713,0.233767255
5862,FILIP1L,0.065609649,0.256143804
5863,FIP1L1,0.144290796,0.379856284
5864,FIRRE,0.028732943,0.169507944
5865,FIS1,0.023485008,0.15324819
5866,FITM1,0.028965449,0.170192388
5867,FITM2,0.052405637,0.228922776
5868,FIZ1,0.038045561,0.195052714
5869,FJX1,0.080227947,0.283245383
5870,FKBP10,0.050223064,0.22410503
5871,FKBP11,0.056988988,0.238723665
5872,FKBP14,0.090789558,0.301313056
5873,FKBP15,0.085735527,0.292806296
5874,FKBP1A,0.036840896,0.191939824
5875,FKBP1A-SDCBP2,0.031187797,0.176600671
5876,FKBP1AP1,0.055606767,0.235810871
5877,FKBP1B,0.038161443,0.195349539
5878,FKBP2,0.073504569,0.27111726
5879,FKBP3,0.062152147,0.249303323
5880,FKBP4,0.042907608,0.207141516
5881,FKBP5,0.029734083,0.172435735
5882,FKBP6,0.034254664,0.185080157
5883,FKBP7,0.03954495,0.198859121
5884,FKBP8,0.047116712,0.217063844
5885,FKBP9,0.063617036,0.252224179
5886,FKBP9P1,0.03070249,0.175221259
5887,FKBPL,0.109610292,0.331074451
5888,FKRP,0.099002755,0.314647032
5889,FKSG29,0.015461063,0.124342525
5890,FKTN,0.040586192,0.20146015
5891,FLAD1,0.03666787,0.191488564
5892,FLCN,0.021813949,0.147695461
5893,FLG,0.007479226,0.086482516
5894,FLG-AS1,0.010031121,0.100155482
5895,FLG2,0.017960484,0.13401673
5896,FLI1,0.031637247,0.177868624
5897,FLII,0.041201687,0.202981988
5898,FLJ12825,0.050024625,0.223661853
5899,FLJ13224,0.048120717,0.219364347
5900,FLJ16779,0.021546354,0.146786765
5901,FLJ20021,0.017916543,0.133852692
5902,FLJ22447,0.063226514,0.25144883
5903,FLJ25758,0.052185216,0.228440836
5904,FLJ30679,0.020049807,0.141597341
5905,FLJ31104,0.049662347,0.222850504
5906,FLJ31356,0.066090009,0.257079771
5907,FLJ32255,0.047197326,0.217249455
5908,FLJ33534,0.038987744,0.197453144
5909,FLJ36000,0.024189043,0.155528271
5910,FLJ37201,0.035804206,0.189219995
5911,FLJ37453,0.027190945,0.164896771
5912,FLJ38576,0.026529521,0.162878854
5913,FLJ40194,0.056593155,0.237893159
5914,FLJ40288,0.027487922,0.165794819
5915,FLJ42351,0.068658954,0.262028537
5916,FLJ42393,0.032950649,0.181523137
5917,FLJ42627,0.050615918,0.224979816
5918,FLJ42969,0.042695696,0.206629368
5919,FLJ43315,0.01985191,0.140896808
5920,FLJ44635,0.050732979,0.225239824
5921,FLJ45513,0.023029741,0.151755531
5922,FLJ46284,0.01892797,0.137578959
5923,FLJ46906,0.038028711,0.195009515
5924,FLNA,0.061536392,0.248065297
5925,FLNB,0.014461943,0.12025782
5926,FLNC,0.033889609,0.184091307
5927,FLOT1,0.048689434,0.220656824
5928,FLOT2,0.046995285,0.21678396
5929,FLRT1,0.063568601,0.252128144
5930,FLRT2,0.16772722,0.409545138
5931,FLRT3,0.045778304,0.21395865
5932,FLT1,0.017441833,0.132067531
5933,FLT3,0.043633204,0.208885624
5934,FLT3LG,0.01878089,0.137043386
5935,FLT4,0.053322434,0.230916508
5936,FLVCR1,0.021644888,0.147122018
5937,FLVCR2,0.043052622,0.207491257
5938,FLYWCH1,0.075604964,0.274963568
5939,FLYWCH2,0.061446216,0.247883473
5940,FMN1,0.016245635,0.127458366
5941,FMN2,0.028720389,0.169470908
5942,FMNL1,0.037274524,0.193066113
5943,FMNL2,0.073643206,0.271372817
5944,FMNL3,0.01683835,0.129762668
5945,FMO1,0.053721926,0.231779908
5946,FMO2,0.080096361,0.283013004
5947,FMO3,0.016537028,0.128596375
5948,FMO4,0.05691781,0.238574537
5949,FMO5,0.102765607,0.320570752
5950,FMO6P,0.026082593,0.161501061
5951,FMO9P,0.057648505,0.240101031
5952,FMOD,0.025649851,0.160155707
5953,FMR1,0.01674952,0.129419938
5954,FMR1-AS1,0.063874153,0.252733362
5955,FMR1NB,0.048461514,0.22013976
5956,FN1,0.030124029,0.173562753
5957,FN3K,0.029389348,0.171433218
5958,FN3KRP,0.090093983,0.300156598
5959,FNBP1,0.054436871,0.233317104
5960,FNBP1L,0.007347932,0.085720082
5961,FNBP4,0.018011109,0.134205473
5962,FNDC1,0.021321604,0.14601919
5963,FNDC3A,0.027118487,0.164676918
5964,FNDC3B,0.020711233,0.143913977
